name,area,id,total_space,lat,lng
鼓山車站,鼓山區,501209085,16,22.64183,120.28051
十全康平街口,三民區,501203113,19,22.64650,120.29438
鐵道復興一路口,三民區,501203118,20,22.63903,120.30859
八德重劃公園,仁武區,501214027,15,22.68227,120.34359
梓和公園,梓官區,501213007,10,22.75757,120.26493
廣昌公園,楠梓區,501210092,14,22.70590,120.28704
凱旋一心一路口,前鎮區,501208088,20,22.60532,120.32478
高雄軟體園區,前鎮區,501208091,30,22.604620,120.299387
育群兒童遊戲場,前鎮區,501208094,16,22.60513,120.32202
公園二光榮街口,鹽埕區,501204022,16,22.62091,120.28433
宏光宏智街口,小港區,501212047,20,22.56940,120.36317
三多桂林街口,前鎮區,501208092,15,22.61763,120.31566
中庄國小,大寮區,501219005,18,22.63447,120.39736
鎮東公園,前鎮區,501208093,17,22.59208,120.30916
武昌武昌路40巷口,苓雅區,501202079,20,22.61867,120.33569
創新芎林一街口,楠梓區,501210094,16,22.75039,120.33146
長樂和興街口,鳳山區,501206132,16,22.61714,120.35594
宏平沿海一路口,小港區,501212046,20,22.56947,120.35013
崇德翠華路口,左營區,501207113,20,22.67847,120.29829
餐旅大學(松信路),小港區,501212048,40,22.56080,120.37361
西山兒童遊戲場,前鎮區,501208089,16,22.60967,120.31034
中山河北一路口,三民區,501203117,16,22.636702,120.302484
小機堡停車場,橋頭區,501220012,15,22.75546,120.31301
鹽埔農村社區活動中心,岡山區,501216031,15,22.77054,120.28138
高雄科大第一西校區游泳池,楠梓區,501210079,17,22.75479,120.33151
高雄科大第一東校區財金學院,楠梓區,501210080,15,22.75561,120.33461
內惟國小(鼓山三路),鼓山區,501209075,16,22.656564,120.275422
中華郵政前峰郵局,鼓山區,501209061,13,22.66828,120.28631
正義車站(鐵道街),三民區,501203115,28,22.63431,120.34164
海風社區公園,鳳山區,501206092,14,22.63317,120.37475
高雄科大第一東校區第三停車場,楠梓區,501210082,18,22.75725,120.33957
台機大地街口,小港區,501212049,30,22.56108,120.34757
高雄科大第一東校區校門,楠梓區,501210081,12,22.75864,120.33616
高雄市立圖書館鼓山分館,鼓山區,501209076,13,22.65351,120.27568
中華一青海路口,鼓山區,501209078,13,22.65109,120.29174
勝利建國路一段口,鳳山區,501206093,15,22.63537,120.37444
自由察哈爾一街口,三民區,501203114,28,22.64754,120.30903
空軍軍史館,岡山區,501216030,30,22.78466,120.27211
前峰兒童遊戲場,鼓山區,501209077,15,22.66554,120.28434
捷運三多商圈站(3號出口),前鎮區,501208087,31,22.61323,120.30492
寶安里活動中心,三民區,501203112,15,22.64099,120.32886
角宿天后宮活動中心,燕巢區,501228008,16,22.77028,120.35992
一心和平二路口,前鎮區,501208073,20,22.60700,120.32026
愛群國小,前鎮區,501208086,24,22.61507,120.31296
凱興凱旺街口,前鎮區,501208090,15,22.59235,120.32181
天順港福街29巷口,小港區,501212041,11,22.56851,120.33423
輕軌駁二蓬萊站,鹽埕區,501204020,20,22.62069,120.27975
小港森林公園(秀峰街),小港區,501212045,20,22.56809,120.37071
三隆兒童公園,大寮區,501219019,10,22.59988,120.40453
六成保南一路口,鳳山區,501206131,15,22.58782,120.34907
博愛四重仁路口,左營區,501207109,15,22.68733,120.31650
大義截流站,鹽埕區,501204021,20,22.61898,120.28411
明誠富國路口東北側,左營區,501207050,16,22.66117,120.30708
大昌無菸公園,楠梓區,501210091,15,22.70820,120.28913
楠梓特殊學校,楠梓區,501210093,20,22.72803,120.31277
富民太原街口,左營區,501207110,15,22.66766,120.30562
苓洲國小,苓雅區,501202078,25,22.61491,120.30124
路竹運動公園,路竹區,501224008,15,22.86157,120.26654
高苑科技大學生化大樓,路竹區,501224006,15,22.84299,120.26635
環區一環區四路口,前鎮區,501208083,11,22.58896,120.29666
五甲國中(龍成路),鳳山區,501206130,15,22.59824,120.32921
南蓮停車場,阿蓮區,501225004,10,22.87912,120.32976
仁和南中正路口,仁武區,501214024,12,22.70142,120.34811
一品公園,橋頭區,501220011,11,22.76350,120.30188
保泰保泰路370巷,鳳山區,501206109,10,22.60329,120.33508
鳳山公28公園,鳳山區,501206120,10,22.61245,120.35884
捷運小港站(3號出口),小港區,501212043,21,22.56593,120.35301
中山大學海資館,鼓山區,501209071,17,22.63037,120.26234
鳳楠經建路口,楠梓區,501210090,15,22.72275,120.33140
八德東八德南路口,仁武區,501214026,13,22.68467,120.33969
凱旋凱旋三路915巷口,苓雅區,501202077,17,22.61961,120.32555
中華光復一街路口,旗山區,501229006,16,22.88146,120.48448
梓平公園,梓官區,501213006,10,22.75463,120.26750
泰山兒童遊戲場,小港區,501212044,12,22.57177,120.36300
高苑科技大學視聽大樓,路竹區,501224007,30,22.84143,120.26761
阿蓮區公所,阿蓮區,501225002,13,22.88305,120.32728
獅甲公園,前鎮區,501208085,17,22.61215,120.30641
瑞崗兒童遊戲場,前鎮區,501208084,11,22.60625,120.33150
輕軌馬卡道站,鼓山區,501209074,23,22.64757,120.28133
高雄大學(大學南路側),楠梓區,501210089,17,22.73256,120.28986
高雄大學管理學院,楠梓區,501210088,20,22.73310,120.28754
青海公園,鼓山區,501209073,15,22.65147,120.28369
高坪五十路口,小港區,501212040,12,22.55557,120.38614
坪頂國小,小港區,501212037,10,22.56125,120.39140
四維河南路口,苓雅區,501202073,11,22.62572,120.32913
中山大學體育館,鼓山區,501209069,18,22.62513,120.26607
中山大學西灣藝廊,鼓山區,501209070,17,22.62727,120.26503
鼓山國小(登山街),鼓山區,501209062,15,22.62440,120.27227
清豐公園,楠梓區,501210028,15,22.73525,120.33663
盛泰公園,楠梓區,501210087,15,22.73094,120.33152
寶業滯洪公園(澄清路),三民區,501203108,23,22.63872,120.34514
龍德新自由一路口,鼓山區,501209072,20,22.65477,120.30712
高鐵左營基地,仁武區,501214025,15,22.69517,120.32092
博愛國小,三民區,501203109,26,22.64521,120.30757
松崗停車場,小港區,501212039,15,22.57477,120.37397
博愛熱河二街口,三民區,501203104,19,22.64441,120.30281
高雄車站(西側),三民區,501203110,36,22.64002,120.30159
自勉公園,左營區,501207104,11,22.67882,120.27987
林森中華五路口,前鎮區,501208082,10,22.60955,120.30361
福山公園(榮佑路側),左營區,501207029,19,22.68193,120.32049
大坪頂公園,小港區,501212036,12,22.56329,120.38845
高雄市熱帶植物園,小港區,501212038,10,22.55578,120.38895
翠華日昌路口,鼓山區,501209068,17,22.65873,120.28213
華夏兒童遊戲場(華夏路側),左營區,501207048,20,22.68188,120.30612
河北二路中庸街口,三民區,501203085,10,22.63417,120.29090
美術東二美術北三路口,鼓山區,501209066,14,22.66324,120.28868
公園二大勇路口,鹽埕區,501204017,15,22.62158,120.28293
